I#ID	Name
G1	KLHL17
G2	ISG15
G3	AGRN
G4	TNFRSF4
G5	SDF4
G6	B3GALT6
G7	DVL1
G8	CCNL2
G9	ATAD3A
G10	TMEM240
G11	MIB2
G12	SLC35E2B
G13	CDK11A
G14	GNB1
G15	GABRD
G16	PRKCZ
G17	SKI
G18	RER1
G19	PEX10
G20	TNFRSF14
G21	PRDM16
G22	WRAP73
G23	TP73
G24	SMIM1
G25	CEP104
G26	NPHP4
G27	KCNAB2
G28	GPR153
G29	ESPN
G30	TNFRSF25
G31	PLEKHG5
G32	CAMTA1
G33	PER3
G34	TNFRSF9
G35	PARK7
G36	SLC45A1
G37	RERE
G38	ENO1
G39	CA6
G40	SLC2A5
G41	H6PD
G42	PIK3CD
G43	CTNNBIP1
G44	NMNAT1
G45	KIF1B
G46	DFFA
G47	PEX14
G48	TARDBP
G49	MASP2
G50	MTOR
G51	UBIAD1
G52	MAD2L2
G53	MTHFR
G54	CLCN6
G55	NPPA
G56	PLOD1
G57	MFN2
G58	MIIP
G59	TNFRSF8
G60	TNFRSF1B
G61	VPS13D
G62	PRAMEF1
G63	KAZN
G64	CTRC
G65	CASP9
G66	PLEKHM2
G67	SPEN
G68	HSPB7
G69	CLCNKA
G70	CLCNKB
G71	EPHA2
G72	NECAP2
G73	MFAP2
G74	ATP13A2
G75	SDHB
G76	PADI2
G77	PADI3
G78	PADI4
G79	PADI6
G80	RCC2
G81	ARHGEF10L
G82	IGSF21
G83	PAX7
G84	ALDH4A1
G85	UBR4
G86	EMC1
G87	CAPZB
G88	PLA2G2A
G89	PLA2G5
G90	PINK1
G91	DDOST
G92	EIF4G3
G93	ECE1
G94	ALPL
G95	RAP1GAP
G96	USP48
G97	HSPG2
G98	CDC42
G99	WNT4
G100	C1QA
G101	C1QC
G102	C1QB
G103	EPHB2
G104	KDM1A
G105	RPL11
G106	GALE
G107	HMGCL
G108	FUCA1
G109	GRHL3
G110	RHD
G111	RHCE
G112	LDLRAP1
G113	SELENON
G114	SLC30A2
G115	TRIM63
G116	CNKSR1
G117	UBXN11
G118	DHDDS
G119	ARID1A
G120	PIGV
G121	NR0B2
G122	SLC9A1
G123	MAP3K6
G124	FCN3
G125	AHDC1
G126	PTAFR
G127	GMEB1
G128	YTHDF2
G129	EPB41
G130	MECR
G131	PTPRU
G132	MATN1
G133	SDC3
G134	FABP3
G135	TINAGL1
G136	CCDC28B
G137	LCK
G138	HDAC1
G139	SYNC
G140	YARS1
G141	S100PBP
G142	HPCA
G143	AK2
G144	CSMD2
G145	GJB4
G146	GJB3
G147	COL8A2
G148	TRAPPC3
G149	CSF3R
G150	GRIK3
G151	SNIP1
G152	RSPO1
G153	NDUFS5
G154	MACF1
G155	PPIE
G156	TRIT1
G157	MFSD2A
G158	PPT1
G159	ZMPSTE24
G160	COL9A2
G161	KCNQ4
G162	CTPS1
G163	HIVEP3
G164	CLDN19
G165	P3H1
G166	ERMAP
G167	SLC2A1
G168	CFAP57
G169	TIE1
G170	MPL
G171	SZT2
G172	PTPRF
G173	ST3GAL3
G174	SLC6A9
G175	PTCH2
G176	EIF2B3
G177	HECTD3
G178	UROD
G179	MUTYH
G180	MMACHC
G181	NASP
G182	PIK3R3
G183	POMGNT1
G184	RAD54L
G185	FAAH
G186	DMBX1
G187	MKNK1
G188	MOB3C
G189	CYP4B1
G190	CYP4A11
G191	CYP4X1
G192	CYP4Z1
G193	CYP4A22
G194	STIL
G195	FOXE3
G196	BEND5
G197	NRDC
G198	ORC1
G199	SCP2
G200	PODN
G201	CPT2
G202	LRP8
G203	DIO1
G204	TTC4
G205	PARS2
G206	TTC22
G207	DHCR24
G208	BSND
G209	PCSK9
G210	C8A
G211	C8B
G212	DAB1
G213	TACSTD2
G214	MYSM1
G215	JUN
G216	FGGY
G217	CYP2J2
G218	NFIA
G219	DOCK7
G220	ANGPTL3
G221	FOXD3
G222	ALG6
G223	ITGB3BP
G224	PGM1
G225	ROR1
G226	JAK1
G227	DNAJC6
G228	LEPR
G229	PDE4B
G230	MIER1
G231	SLC35D1
G232	IL23R
G233	IL12RB2
G234	DIRAS3
G235	RPE65
G236	CTH
G237	PTGER3
G238	TNNI3K
G239	CRYZ
G240	ACADM
G241	MSH4
G242	NEXN
G243	FUBP1
G244	PTGFR
G245	PRKACB
G246	BCL10
G247	COL24A1
G248	SH3GLB1
G249	GBP2
G250	GBP5
G251	ZNF644
G252	HFM1
G253	TGFBR3
G254	GLMN
G255	GFI1
G256	RPL5
G257	DIPK1A
G258	GCLM
G259	ABCA4
G260	ARHGAP29
G261	ABCD3
G262	F3
G263	ALG14
G264	DPYD
G265	AGL
G266	SLC35A3
G267	SASS6
G268	DBT
G269	CDC14A
G270	GPR88
G271	VCAM1
G272	S1PR1
G273	COL11A1
G274	NTNG1
G275	SLC25A24
G276	AKNAD1
G277	GPSM2
G278	ELAPOR1
G279	CELSR2
G280	MYBPHL
G281	SORT1
G282	GPR61
G283	GNAI3
G284	GNAT2
G285	AMPD2
G286	GSTM1
G287	CSF1
G288	AHCYL1
G289	ALX3
G290	SLC6A17
G291	KCNA2
G292	DRAM2
G293	OVGP1
G294	ADORA3
G295	KCND3
G296	WNT2B
G297	SLC16A1
G298	LRIG2
G299	PTPN22
G300	AP4B1
G301	DCLRE1B
G302	OLFML3
G303	SYT6
G304	TRIM33
G305	AMPD1
G306	NRAS
G307	TSHB
G308	NGF
G309	VANGL1
G310	CASQ2
G311	ATP1A1
G312	IGSF3
G313	CD2
G314	TRIM45
G315	SPAG17
G316	TBX15
G317	WARS2
G318	HAO2
G319	HSD3B2
G320	HSD3B1
G321	PHGDH
G322	HMGCS2
G323	NOTCH2
G324	NBPF20
G325	PDZK1
G326	PEX11B
G327	RBM8A
G328	HJV
G329	PDE4DIP
G330	GJA8
G331	GJA5
G332	ACP6
G333	CHD1L
G334	FCGR1A
G335	H2BC18
G336	SV2A
G337	SF3B4
G338	VPS45
G339	APH1A
G340	PRPF3
G341	TARS2
G342	ECM1
G343	ADAMTSL4
G344	MCL1
G345	ENSA
G346	CTSK
G347	ARNT
G348	PRUNE1
G349	BNIPL
G350	SEMA6C
G351	PSMD4
G352	ZNF687
G353	RFX5
G354	POGZ
G355	RORC
G356	TCHH
G357	FLG
G358	KPRP
G359	IVL
G360	SPRR2E
G361	LORICRIN
G362	S100A4
G363	S100A3
G364	CHTOP
G365	INTS3
G366	SLC27A3
G367	GATAD2B
G368	RPS27
G369	TPM3
G370	HAX1
G371	IL6R
G372	CHRNB2
G373	ADAR
G374	KCNN3
G375	PMVK
G376	SHC1
G377	FLAD1
G378	DCST1
G379	ADAM15
G380	EFNA4
G381	DPM3
G382	THBS3
G383	PKLR
G384	FDPS
G385	RIT1
G386	LAMTOR2
G387	LMNA
G388	SEMA4A
G389	BGLAP
G390	NAXE
G391	BCAN
G392	NES
G393	PRCC
G394	SH2D2A
G395	NTRK1
G396	FCRL5
G397	FCRL3
G398	OR10K2
G399	SPTA1
G400	OR6K2
G401	OR6K3
G402	PYHIN1
G403	IFI16
G404	CADM3
G405	ACKR1
G406	CRP
G407	KCNJ10
G408	PIGM
G409	IGSF8
G410	ATP1A2
G411	CASQ1
G412	DCAF8
G413	PEX19
G414	COPA
G415	NCSTN
G416	VANGL2
G417	CD244
G418	USF1
G419	NECTIN4
G420	PPOX
G421	B4GALT3
G422	NDUFS2
G423	FCER1G
G424	APOA2
G425	NR1I3
G426	MPZ
G427	SDHC
G428	FCGR2A
G429	FCGR3A
G430	FCGR2C
G431	FCGR3B
G432	FCGR2B
G433	ATF6
G434	OLFML2B
G435	NOS1AP
G436	UHMK1
G437	DDR2
G438	RGS4
G439	RGS5
G440	PBX1
G441	RXRG
G442	ALDH9A1
G443	TMCO1
G444	CD247
G445	ADCY10
G446	DCAF6
G447	GPR161
G448	TBX19
G449	ATP1B1
G450	NME7
G451	SLC19A2
G452	F5
G453	SELP
G454	SELL
G455	SELE
G456	KIFAP3
G457	GORAB
G458	PRRX1
G459	FMO3
G460	MYOC
G461	PIGC
G462	FASLG
G463	TNFSF4
G464	KLHL20
G465	DARS2
G466	SERPINC1
G467	CACYBP
G468	TNR
G469	PAPPA2
G470	RASAL2
G471	ABL2
G472	SOAT1
